ISO_Code,Year,RGDP Per Capita Lag
MDA,2013-01-01,4938.0
MNG,2013-01-01,10771.0
MNE,2013-01-01,15709.0
MAR,2013-01-01,7323.0
MOZ,2013-01-01,951.0
MMR,2013-01-01,4539.0
NAM,2013-01-01,9181.0
NPL,2013-01-01,2370.0
NLD,2013-01-01,45412.0
NZL,2013-01-01,31720.0
NIC,2013-01-01,4221.0
NER,2013-01-01,845.0
NGA,2013-01-01,5370.0
NOR,2013-01-01,81826.0
OMN,2013-01-01,44308.0
PAK,2013-01-01,4568.0
PAN,2013-01-01,18113.0
PNG,2013-01-01,
PRY,2013-01-01,7522.0
PER,2013-01-01,10493.0
PHL,2013-01-01,5984.0
POL,2013-01-01,23037.0
PRT,2013-01-01,25743.0
QAT,2013-01-01,156144.0
ROU,2013-01-01,18604.0
RUS,2013-01-01,23827.0
RWA,2013-01-01,1507.0
SAU,2013-01-01,49983.0
SEN,2013-01-01,2153.0
SRB,2013-01-01,13085.0
SYC,2013-01-01,21922.0
SLE,2013-01-01,1583.0
SGP,2013-01-01,61905.0
SVK,2013-01-01,23118.0
SVN,2013-01-01,26022.0
ZAF,2013-01-01,11880.0
ESP,2013-01-01,31491.0
LKA,2013-01-01,9588.0
SDN,2013-01-01,2900.0
SUR,2013-01-01,
SWZ,2013-01-01,8012.0
SWE,2013-01-01,42579.0
CHE,2013-01-01,60777.0
SYR,2013-01-01,5087.0
TWN,2013-01-01,38578.0
TJK,2013-01-01,3212.0
TZA,2013-01-01,2187.0
THA,2013-01-01,14467.0
TLS,2013-01-01,
TGO,2013-01-01,1240.0
TTO,2013-01-01,30351.0
TUN,2013-01-01,10749.0
TUR,2013-01-01,18787.0
UGA,2013-01-01,1848.0
UKR,2013-01-01,10744.0
ARE,2013-01-01,66251.0
GBR,2013-01-01,35784.0
USA,2013-01-01,50394.0
URY,2013-01-01,17950.0
VEN,2013-01-01,17752.0
VNM,2013-01-01,4911.0
YEM,2013-01-01,3707.0
ZMB,2013-01-01,3413.0
ZWE,2013-01-01,1623.0
ALB,2012-01-01,9484.0
DZA,2012-01-01,13204.0
AGO,2012-01-01,8016.0
ARG,2012-01-01,20003.0
ARM,2012-01-01,8465.0
AUS,2012-01-01,46132.0
AUT,2012-01-01,41446.0
AZE,2012-01-01,16176.0
BHS,2012-01-01,
BHR,2012-01-01,36372.0
BGD,2012-01-01,2772.0
BRB,2012-01-01,11870.0
BLR,2012-01-01,17918.0
BEL,2012-01-01,38130.0
BLZ,2012-01-01,
BEN,2012-01-01,1836.0
BTN,2012-01-01,
BOL,2012-01-01,5331.0
BIH,2012-01-01,8961.0
BWA,2012-01-01,13376.0
BRA,2012-01-01,14831.0
BRN,2012-01-01,
BGR,2012-01-01,15112.0
BFA,2012-01-01,1344.0
BDI,2012-01-01,719.0
KHM,2012-01-01,2496.0
CMR,2012-01-01,2494.0
CAN,2012-01-01,42197.0
CPV,2012-01-01,6295.0
CAF,2012-01-01,909.0
TCD,2012-01-01,1661.0
CHL,2012-01-01,19705.0
CHN,2012-01-01,10221.0
COL,2012-01-01,11788.0
COD,2012-01-01,681.0
COG,2012-01-01,5875.0
CRI,2012-01-01,12366.0
CIV,2012-01-01,2444.0
HRV,2012-01-01,19813.0
CYP,2012-01-01,27272.0
CZE,2012-01-01,26725.0
DNK,2012-01-01,43575.0
DOM,2012-01-01,11679.0
ECU,2012-01-01,9985.0
EGY,2012-01-01,10737.0
SLV,2012-01-01,7607.0
EST,2012-01-01,21997.0
ETH,2012-01-01,1199.0
FJI,2012-01-01,
FIN,2012-01-01,38432.0
FRA,2012-01-01,36691.0
GAB,2012-01-01,16403.0
GMB,2012-01-01,1669.0
GEO,2012-01-01,8946.0
DEU,2012-01-01,43189.0
GHA,2012-01-01,3283.0
GRC,2012-01-01,24349.0
GTM,2012-01-01,6650.0
GIN,2012-01-01,1347.0
GNB,2012-01-01,1413.0
GUY,2012-01-01,
HTI,2012-01-01,1648.0
HND,2012-01-01,4421.0
HKG,2012-01-01,44532.0
HUN,2012-01-01,20886.0
ISL,2012-01-01,36740.0
IND,2012-01-01,4768.0
IDN,2012-01-01,8849.0
IRN,2012-01-01,18024.0
IRQ,2012-01-01,11484.0
IRL,2012-01-01,48980.0
ISR,2012-01-01,29370.0
ITA,2012-01-01,35151.0
JAM,2012-01-01,7141.0
JPN,2012-01-01,34979.0
JOR,2012-01-01,11615.0
KAZ,2012-01-01,21302.0
KEN,2012-01-01,2712.0
KOR,2012-01-01,32225.0
KWT,2012-01-01,77126.0
KGZ,2012-01-01,4142.0
LAO,2012-01-01,4401.0
LVA,2012-01-01,18428.0
LBN,2012-01-01,16230.0
LSO,2012-01-01,2346.0
LBR,2012-01-01,820.0
LBY,2012-01-01,12893.0
LTU,2012-01-01,20243.0
LUX,2012-01-01,54031.0
MKD,2012-01-01,11321.0
MDG,2012-01-01,1347.0
MWI,2012-01-01,1102.0
MYS,2012-01-01,19390.0
MLI,2012-01-01,1500.0
MLT,2012-01-01,23871.0
MRT,2012-01-01,3104.0
MUS,2012-01-01,16483.0
MEX,2012-01-01,15210.0
MDA,2012-01-01,4892.0
MNG,2012-01-01,9484.0
MNE,2012-01-01,15747.0
MAR,2012-01-01,7226.0
MOZ,2012-01-01,925.0
MMR,2012-01-01,3884.0
NAM,2012-01-01,8203.0
NPL,2012-01-01,2189.0
NLD,2012-01-01,44591.0
NZL,2012-01-01,32057.0
NIC,2012-01-01,4189.0
NER,2012-01-01,799.0
NGA,2012-01-01,5136.0
NOR,2012-01-01,80623.0
OMN,2012-01-01,44454.0
PAK,2012-01-01,4464.0
PAN,2012-01-01,16762.0
PNG,2012-01-01,
PRY,2012-01-01,7377.0
PER,2012-01-01,10044.0
PHL,2012-01-01,5851.0
POL,2012-01-01,21837.0
PRT,2012-01-01,25133.0
QAT,2012-01-01,155533.0
ROU,2012-01-01,17174.0
RUS,2012-01-01,23130.0
RWA,2012-01-01,1449.0
SAU,2012-01-01,48470.0
SEN,2012-01-01,2123.0
SRB,2012-01-01,12463.0
SYC,2012-01-01,21545.0
SLE,2012-01-01,1479.0
SGP,2012-01-01,61672.0
SVK,2012-01-01,22483.0
SVN,2012-01-01,26004.0
ZAF,2012-01-01,11838.0
ESP,2012-01-01,31600.0
LKA,2012-01-01,8918.0
SDN,2012-01-01,3669.0
SUR,2012-01-01,
SWZ,2012-01-01,7389.0
SWE,2012-01-01,42079.0
CHE,2012-01-01,58686.0
SYR,2012-01-01,5979.0
TWN,2012-01-01,38565.0
TJK,2012-01-01,3111.0
TZA,2012-01-01,2227.0
THA,2012-01-01,13318.0
TLS,2012-01-01,
TGO,2012-01-01,1227.0
TTO,2012-01-01,29745.0
TUN,2012-01-01,10437.0
TUR,2012-01-01,17919.0
UGA,2012-01-01,1890.0
UKR,2012-01-01,10333.0
ARE,2012-01-01,65307.0
GBR,2012-01-01,34971.0
USA,2012-01-01,49675.0
URY,2012-01-01,17211.0
VEN,2012-01-01,17746.0
VNM,2012-01-01,4786.0
YEM,2012-01-01,4088.0
ZMB,2012-01-01,3205.0
ZWE,2012-01-01,1515.0
ALB,2011-01-01,9324.0
DZA,2011-01-01,12510.0
AGO,2011-01-01,6408.0
ARG,2011-01-01,18660.0
ARM,2011-01-01,7642.0
AUS,2011-01-01,45398.0
AUT,2011-01-01,40500.0
AZE,2011-01-01,12866.0
BHS,2011-01-01,
BHR,2011-01-01,37062.0
BGD,2011-01-01,2421.0
BRB,2011-01-01,14452.0
BLR,2011-01-01,16016.0
BEL,2011-01-01,38592.0
BLZ,2011-01-01,
BEN,2011-01-01,1864.0
BTN,2011-01-01,
BOL,2011-01-01,4805.0
BIH,2011-01-01,8646.0
BWA,2011-01-01,12188.0
BRA,2011-01-01,13418.0
BRN,2011-01-01,
BGR,2011-01-01,14971.0
BFA,2011-01-01,1328.0
BDI,2011-01-01,743.0
KHM,2011-01-01,2322.0
CMR,2011-01-01,2422.0
CAN,2011-01-01,40618.0
CPV,2011-01-01,5917.0
CAF,2011-01-01,866.0
TCD,2011-01-01,1764.0
CHL,2011-01-01,18075.0
CHN,2011-01-01,9475.0
COL,2011-01-01,10618.0
COD,2011-01-01,647.0
COG,2011-01-01,5097.0
CRI,2011-01-01,11989.0
CIV,2011-01-01,2608.0
HRV,2011-01-01,18987.0
CYP,2011-01-01,29488.0
CZE,2011-01-01,25608.0
DNK,2011-01-01,42474.0
DOM,2011-01-01,11524.0
ECU,2011-01-01,9111.0
EGY,2011-01-01,9578.0
SLV,2011-01-01,7260.0
EST,2011-01-01,19917.0
ETH,2011-01-01,1049.0
FJI,2011-01-01,
FIN,2011-01-01,38074.0
FRA,2011-01-01,35871.0
GAB,2011-01-01,11469.0
GMB,2011-01-01,1850.0
GEO,2011-01-01,8305.0
DEU,2011-01-01,41215.0
GHA,2011-01-01,2682.0
GRC,2011-01-01,27169.0
GTM,2011-01-01,6323.0
GIN,2011-01-01,1219.0
GNB,2011-01-01,1324.0
GUY,2011-01-01,
HTI,2011-01-01,1644.0
HND,2011-01-01,4189.0
HKG,2011-01-01,44857.0
HUN,2011-01-01,20365.0
ISL,2011-01-01,36515.0
IND,2011-01-01,4353.0
IDN,2011-01-01,7378.0
IRN,2011-01-01,17716.0
IRQ,2011-01-01,9426.0
